数字频道,#genre#
 CNBC,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cnbc_twn/playlist.m3u8
 CNA,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/cna/playlist.m3u8
 Cartoon Network,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Cn/playlist.m3u8
 CI,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ci_twn/playlist.m3u8
 Channel U,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ChannelU/playlist.m3u8
 Channel 8,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Channel8HD/playlist.m3u8
 Channel 5,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Channel5HD/playlist.m3u8
 天映经典,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Celestial2/playlist.m3u8
 CatchPlay,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/catchplay_twn/playlist.m3u8
 Boo,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Boo/playlist.m3u8
 Astro Bollyone,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Bollyone/playlist.m3u8
 Bernama,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Bernama/playlist.m3u8
 BBC World News,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/bbcnews_twn/playlist.m3u8
 BBC Lifestyle,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/bbclifestyle_twn/playlist.m3u8
 BBC Earth,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/bbcearth_twn/playlist.m3u8
 Astro Awani,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Awani/playlist.m3u8
 Astro Aura,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Aura/playlist.m3u8
 亞洲旅遊台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/asiatravel_twn/playlist.m3u8
 Astro Arena 2,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Arena2/playlist.m3u8
