央视卫视,#genre#
CCTV-4美洲,http://8.146.211.219:2000/live_tv?pid=ff845ac53ad93b65cafc3d614e24a6f3
CCTV-4欧洲,http://8.146.211.219:2000/live_tv?pid=4214f0611525dc263e9bcda487dd7e5c
CCTV-5体育,http://8.146.211.219:2000/live_tv?pid=60a87402ca97dcefcbbc7f595b0fc200
CCTV-5+体育赛事,http://8.146.211.219:2000/live_tv?pid=5bc9917cf8e38ec2d65e194e04e45be0
CCTV-6电影,http://8.146.211.219:2000/live_tv?pid=9db5387169f1bd585f1ec339d7c67e14
CCTV-7国防军事,http://8.146.211.219:2000/live_tv?pid=bf64993f86f37aec24e705005fe39066
CCTV-8电视剧,http://8.146.211.219:2000/live_tv?pid=d01e4a216ee7b46564165de45868cbaa
CCTV-9Documentary,http://8.146.211.219:2000/live_tv?pid=1e602a4618502413c0782f4e5382e7a5
CCTV-9纪录,http://8.146.211.219:2000/live_tv?pid=c2055b541dcc5e19430b70fe46b03ca3
CCTV-10科教,http://8.146.211.219:2000/live_tv?pid=1cf67ca00919a962e0a113212f9ffe2e
CCTV-11戏曲,http://8.146.211.219:2000/live_tv?pid=570df9677f882f0659951bd8c49abce3
CCTV-12社会与法,http://8.146.211.219:2000/live_tv?pid=e2a2d9992868a4662e57547ebedc0238
CCTV-13新闻,http://8.146.211.219:2000/live_tv?pid=37580e820025a1b1489f3f14a82f8c5f
CCTV-14少儿,http://8.146.211.219:2000/live_tv?pid=07f2f8966d3ce62f6c9120693357b68f
CCTV-15音乐,http://8.146.211.219:2000/live_tv?pid=2d92a71d4fd1526ab8c048270541ef47
CCTV-17农业农村,http://8.146.211.219:2000/live_tv?pid=41b7f7a46ce461180844b60b340de2c0
CHC动作电影,http://8.146.211.219:2000/live_tv?pid=8fa21d7863ede8acde11c18b9ba6933a
CHC家庭影院,http://8.146.211.219:2000/live_tv?pid=24486423d47fd9005c556ca659f948dd
高清大片,http://8.146.211.219:2000/live_tv?pid=b5fdb1d50564cb81ac6c12b8b027914c
经典香港电影,http://8.146.211.219:2000/live_tv?pid=09c27d1c884cef379f3a5b195827f5c0
新片放映厅,http://8.146.211.219:2000/live_tv?pid=f7adfc8b2dbd5421968042e6eba827ef
东方卫视,http://8.146.211.219:2000/live_tv?pid=6ded7c996f9cfe59eecf602312f154e0
海南卫视,http://8.146.211.219:2000/live_tv?pid=c88d2b1a8ce4695b7f0e3ca383e37c1d
